PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,POSS,2021/22 Salary,Team Payroll,Percentage of Team Payroll
Jaden McDaniels,MIN,21,70,40,30,25.8,109.9,109.3,0.6,6.3,1.05,10.8,3.8,11.5,7.5,10.2,53.2,55.3,14.9,102.49,6.1,3840,2063280.0,137432702.0,1.5
Josh Okogie,MIN,23,49,23,26,10.5,104.1,101.6,2.5,6.6,1.09,14.5,4.9,7.7,6.2,13.3,47.1,52.6,11.5,104.93,4.8,1133,4087904.0,137432702.0,3.0
Leandro Bolmaro,MIN,21,35,19,16,6.9,102.6,102.5,0.2,11.8,1.62,22.3,6.2,10.7,8.4,13.8,36.1,41.9,12.2,105.58,3.8,531,2353320.0,137432702.0,1.7
Jayson Tatum,BOS,24,76,49,27,35.9,115.5,103.4,12.1,20.4,1.54,14.5,3.2,18.0,10.9,9.4,52.6,57.8,31.3,98.12,15.9,5578,28103500.0,138096726.0,20.4
Jaylen Brown,BOS,25,66,43,23,33.6,113.5,103.8,9.8,17.3,1.30,13.1,2.4,14.5,8.8,10.1,54.1,57.4,29.8,98.57,13.5,4563,26758928.0,138096726.0,19.4
Al Horford,BOS,35,69,46,23,29.1,112.8,103.4,9.3,15.9,3.57,25.6,5.4,20.1,13.0,7.2,54.6,57.4,14.7,98.03,12.3,4096,27000000.0,138096726.0,19.6
Payton Pritchard,BOS,24,71,46,25,14.1,109.4,107.2,2.2,22.2,3.39,24.7,3.1,9.3,6.3,7.3,56.4,57.8,18.0,98.23,10.7,2057,2137440.0,138096726.0,1.5
Derrick White,BOS,27,75,40,35,29.3,111.3,106.4,4.9,23.1,3.08,26.5,1.7,9.4,5.6,8.6,49.3,54.9,19.6,100.43,10.1,4589,15678571.0,138096726.0,11.4
Marcus Smart,BOS,28,71,47,24,32.3,114.5,105.2,9.3,24.5,2.62,30.4,1.8,9.3,5.7,11.6,50.1,54.0,17.9,99.02,9.5,4737,14339285.0,138096726.0,10.4
Daniel Theis,BOS,30,47,20,27,20.8,104.4,108.4,-3.9,6.8,0.89,10.0,6.1,15.9,11.3,11.2,57.6,59.5,16.2,100.35,9.0,2040,8280351.0,138096726.0,6.0
Grant Williams,BOS,23,77,49,28,24.4,112.5,108.0,4.5,5.8,1.26,12.8,3.5,10.7,7.2,10.2,59.7,63.5,12.3,98.40,6.7,3832,2617800.0,138096726.0,1.9
Kelan Martin,BOS,26,30,14,16,15.0,102.4,108.6,-6.2,7.2,1.50,9.9,3.5,8.6,5.9,6.6,47.4,48.4,18.0,98.09,6.0,921,993760.0,138096726.0,0.7
